English,Korean
grant,"보조금, 부여하다, 주다, 인정하다, 허가하다"
growth,"성장, 증가, 증대, 상승, 자람"
guarantee,"보장하다, 보증, 보호, 장담하다, 약속"
guideline,"지침, 가이드라인, 기준, 방법, 정책"
handling,"취급, 취급의, 손으로, 만지기"
headquarters,"본부, 본사, 당사, 사령부, 지도부"
health,"건강, 보건, 의료, 헬스, 몸에, 좋음"
hire,"고용하다, 채용하다, 사람을, 쓰다, 뽑다, 빌리다"
holiday,"휴가, 공휴일, 휴일, 명절, 축제일"
humanity,"인류, 인간성, 인간애"
identification,"동정, 표시, 신원, 확인, 공감, 신분증"
implementation,"이행, 실행, 완성"
implication,"의미, 영향, 연루"
improvement,"개선, 향상, 발전, 개량, 증진"
incentive,"인센티브, 유인, 보상의, 장려하는, 혜택"
income,"소득, 수입, 수익"
increase,"증가하다, 늘리다, 확대하다, 상승하다, 인상되다"
indication,"표시, 징후, 가리키는"
industry,"산업, 업계, 제조업, 공업"
inflation,"인플레이션, 물가, 인상, 증가, 부풀리기"
information,"정보, 자료, 안내, 뉴스, 보도"
ingredient,"재료, 성분"
initiative,"새로운, 계획, 이니셔티브, 조치, 주도권, 선제의"
injury,"손상, 상처, 부상, 피해"
inquiry,"조사, 문의, 수사"
inspection,"검사, 점검, 조사, 감사, 검증"
installation,"설치, 시설, 전시, 임명"
instance,"예, 사례, 일례"
institute,"연구소, 협회, 대학교, 시행하다, 전문교육기관"
instruction,"교육, 방법, 지시, 설명, 교본"
instructor,"지도자, 강사, 교수, 교사, 교관"
instrument,"도구, 악기, 기구"
insurance,"보험, 보험금"
intention,"의도, 의사, 의향, 의지, 취지"
interest,"관심, 이자, 이해관계"
interview,"인터뷰, 면접, 면담, 회견"
introduction,"도입, 소개, 서문, 입문, 머리말"
inventory,"재고, 목록, 보유, 비축"
investigation,"연구, 조사, 수사, 감사"
investment,"투자, 출자"
invoice,"송장, 청구서, 인보이스"
item,"품목, 물품, 아이템, 사항, 도구"
itinerary,"일정, 기행, 여정, 여행"
job,"일, 직업, 직무, 일자리, 수술"
journal,"정기, 간행물, 저널, 일기, 잡지"
judgment,"판단, 판결, 심판, 결정, 평가"
knowledge,"지식, 아는, 것, 인지, 학식"
labor,"노동, 근로, 진통, 노력, 출산"
laboratory,"실험실, 연구실, 실습실"
landmark,"경계표, 표지물, 두드러진, 특색"
landscape,"경관, 풍경, 지형, 조경, 지역"
launch,"시작하다, 발사하다, 출시하다, 발표, 개시하다"
laundry,"세탁, 빨래, 세탁물, 세탁소"
law,"법, 법칙, 법률, 규정, 법안"
layout,"배치, 설계, 펼치기"
lease,"임대하다, 리스, 임대, 계약서, 민간자본유치사업, 대여하다"
legislation,"입법, 법제, 법안, 제도, 법률"
liability,"의무, 책임, 부채"
license,"면허, 번호판, 허가, 라이센스, 자격증"
limit,"한계, 제한, 한도, 범위, 극한"
line,"선, 노선, 라인, 줄을, 서다, 전화"
list,"목록, 리스트, 명단, 순위, 등재되다"
loan,"대출, 융자, 빌려, 주다, 대부, 빚"
location,"위치, 장소, 지역, 자리"
logistics,"물류, 로지스틱스, 군수, 화물, 택배"
loyalty,"충성, 성실, 의리"
luggage,"짐, 가방, 수화물"
machinery,"기계, 장치, 조직, 기구"
mail,"우편, 부치다, 이메일"
maintenance,"유지, 관리, 보수, 정비"
management,"관리, 경영, 운영, 사측, 처리"
manager,"매니저, 경영자, 관리인, 감독, 부장"
manufacturer,"업체, 제조업자, 생산자"
margin,"차이, 마진, 수익, 가장자리, 보증금"
market,"시장, 마켓, 상가"
marketing,"마케팅, 홍보, 영업"
material,"재료, 물질의, 자료, 소재, 성분"
matter,"중요하다, 문제, 물질, 중요한, 것, 사안"
measure,"대책, 측정하다, 조치, 기준, 평가하다"
mechanism,"메커니즘, 장치, 체계, 방법, 기계"
media,"매스, 미디어, 매체, medium의, 복수형"
medication,"약물, 약물, 치료, 투약"
meeting,"회의, 만남, 집회, 미팅, 충족하는"
membership,"회원, 멤버십, 이사"
memo,"메모, memorandum, memoranda"
memorandum,"각서, 비망록, 메모"
merchandise,"상품, 물품"
merchant,"상인, 상업의, 상선의, 무역상"
merger,"합병, 통합, 흡수합병, 합당, 연합"
method,"방법, 방식, 수단"
minimum,"최소, 최저"
minute,"분, 잠깐, 적은, 양의, 의사록"
mission,"임무, 선교, 미션, 사명, 계획"
mistake,"실수, 잘못, 착각, 오해"
model,"모델, 모형, 방법, 방식, 모범"
modification,"수정, 변경, 조절"
money,"돈, 자금, 화폐, 비용, 금액"
monitor,"모니터링, 조사하다, 감독하다, 모니터, 관찰하다"
mortgage,"주택, 담보, 대출, 융자, 모기지"
motivation,"동기, 부여, 욕구, 자극"
negotiation,"협상, 교섭, 협의, 거래"
network,"네트워크, 통신망, 망, 관계, 연계"
news,"뉴스, 소식, 보도, 신문, 정보"
notice,"알아차리다, 주목하다, 공지, 게시, 경고"
notification,"통보, 알림, 고지, 신고"
number,"수, 다수, 번호, …을, 세다"
objective,"목표의, 객관적인, 목적의, 현실, 대물의"
obligation,"의무, 계약, 채무, 채권"
occupation,"직업, 점령, 일제, 식민통치"
offer,"제공하다, …하려고, 하다, 제안하다, 제시하다, 드리다"
office,"사무소, 회사, 직무, 의원, 공직"
officer,"관리, 경찰관, 장교, 담당관, 요원"
official,"공식의, 공무원, 관리, 관계자, 직원"
opening,"개막, 여는, 첫, 오프닝, 개방하는"
operation,"운영, 수술, 활동, 운용, 작전"
opinion,"의견, 생각, 여론, 견해, 관점"
opportunity,"기회, 찬스"
option,"선택, 옵션, 방법, 방안"
order,"질서, 순서, 주문하다, 명령하다, 제도"
organization,"조직, 단체, 기관, 기구, 구성"
orientation,"경향, 방향, 지향, 오리엔테이션"
outcome,"결과, 성과, 소산"
outline,"윤곽, 개요, …의, 윤곽을, 그리다"
output,"출력, 생산, 생산고"
overtime,"초과, 근무, 연장전, 시간, 외의, 잔업"
owner,"주인, 소유자"
package,"패키지, 포장, 상품, 소포, 방식"
packet,"패킷, 소포, 갑, 책자"
paper,"논문, 종이, 신문, 서류, 문서"
participant,"참가자, 참여자, 사람들, 집단, 참석자"
participation,"참여, 참가, 참전, 가입, 관여"
partner,"파트너, 협력자, 동반자, 배우자, 짝"
partnership,"파트너십, 협력, 동반자, 함께, 하는, 제휴"
passenger,"승객, 여객, 조수, 탑승객, 타는, 사람"
patent,"특허, 보호, 의장"
payment,"지불, 지급, 돈, 대금, 상환"
penalty,"처벌, 벌금, 페널티, 불이익"
pension,"연금, 펜션, 연기금, 자산, 퇴직금"
percentage,"비율, 퍼센트, 백분율, 포인트, 부분"
performance,"성능, 성과, 수행, 공연, 성적"
period,"기간, 시대, 시기, 생리, 단계"
permission,"허가, 허락, 허용, 승인, 동의"
permit,"허용하다, 허가하다, 허락하다, 용납하다"
personnel,"인력, 직원, 요원, 사람들, 인원"
phase,"상, 단계, 상태, 차, 국면"
plan,"계획하다, 플랜, 구상, 예정, 의도"
planning,"계획, ~할, 생각, 예정"
plant,"식물, 공장, 플랜트, 심다, 시설"
platform,"플랫폼, 기반, 승강장, 정강, 연단"
policy,"정책, 제도, 방침, 규정, 방책"
position,"위치, 자세, 지위, 입장, 자리"
possibility,"가능성, 기회"
potential,"잠재적인, 가능성, 있는, 미래의, 위치, 후보"
practice,"관습, 실제, 행위, 연습하다, 훈련"
precaution,"예방, 주의, 경계, 대비, 조심"
preference,"선호, 좋아하기, 특혜, 우선권, 편애"
preparation,"준비, 대비"
presentation,"프레젠테이션, 발표, 설명, 제출"
president,"대통령, 회장, 총장, 의장, 사장"
pressure,"압력, 압박, 기압, 부담, 스트레스"
prevention,"예방, 방지"
price,"가격, 물가, 가치, 요금, 대가"
priority,"우선, 중요, 우위, 먼저, 상위"
procedure,"절차, 방법, 과정, 처리, 순서"
proceeds,"수익금, 수입, 이익금"
process,"과정, 공정, 처리, 프로세스, 절차"
production,"생산, 제작, 제품, 프로덕션"
productivity,"생산성, 생산력, 생산, 능력"
profession,"직업, 직종, 직위"
professional,"프로의, 직업의, 전문의"
profit,"이익, 수익, 이윤, 수입, 순익"
program,"프로그램, 과정, 계획, 프로"
progress,"발전, 진보, 진전, 진행, 과정"
project,"프로젝트, 사업, 계획, 과제, 기획"
promotion,"증진, 촉진, 진흥, 승진, 홍보"
proof,"증명, 증거, 입증, 방지, 근거"
proposal,"제안, 계획, 안, 제의, 청혼"
prospect,"전망, 과제, 방향, 가능성, 기대"
protection,"보호, 방지, 경호, 비호"
provider,"제공자, 기업, 공급자, 사업자, 조달자"
provision,"규정, 조항, 지원, 대비"
publication,"출판, 발표, 발간, 발행, 간행물"
purchase,"구매하다, 구입하다, 사다, 매수하다, 취득하다"
purpose,"목적, 목표, 의도, 용도, 명분"
qualification,"자격, 능력, 자질"
quality,"품질, 질, 특성, 자질, 고급의"
quantity,"양, 수량, 양적인, 다량"
questionnaire,"설문지, 검증, 질문서"
quota,"쿼터, 할당, 정원, 물량"
rate,"속도, 비율, 가격, 요금, 등급"
reaction,"반응, 반작용, 반발"
receipt,"영수증, 증서"
reception,"수신, 리셉션, 환영, 접수"
recognition,"인식, 인정, 평가, 승인, 수여"
recommendation,"추천, 권고, 의견, 천거"
record,"기록적인, 기록하다, 녹음하다, 음반, 레코드"
recruitment,"신병, 모집, 보충, 원기, 회복"
reduction,"감소, 축소, 절감, 감축, 인하"
reference,"참고, 기준, 표준, 자료, 지칭"
refund,"환불하다, 반환하다, 돌려주다, 상환하다, 반품하다"
region,"지역, 지방, 지대"
registration,"등록, 접수"
regulation,"규제, 규정, 법규, 정규의"
reimbursement,"상환, 변제, 배상, 보전, 환급"
relation,"관계, 관련, 연관, 친척"
relationship,"관계, 연관성, 관련, 사이, 유연, 관계"
reliability,"신뢰성, 신뢰도, 신뢰할, 수, 있음"
relief,"구조, 완화, 안도, 다행, 편안함"
reminder,"독촉장, 생각나게, 하는, 사람, 기념품"
renewal,"갱신, 재개, 재개발"
renovation,"혁신, 수리, 쇄신"
rent,"빌리다, 세, 렌트, 집세, 임대하다"
repair,"수리, 고치다, 치료하다, 회복하다, 수선하다"
replacement,"대체, 교체, 다른, 대신하는, 사람"
report,"보고, 보고서, 보도, 리포트, 발표하다"
representative,"대표적인, 하원, 의원, 대리인, 국회의원, 사원"
reputation,"평판, 명성, 명예, 이미지, 유명"
request,"요청, 요구, 신청, 부탁, 청구"
requirement,"요구, 요건, 조건, 필요, 규정"
research,"연구, 조사, 탐구, 탐사"
reservation,"예약, 보호, 구역, 유보, 의구심, 거리낌"
resident,"주민, 거주민, 거주하는"
resignation,"사임, 사표, 체념, 사퇴"
resource,"자원, 자료, 부, 재료, 자산"
response,"반응, 응답, 대응, 대답, 조치"
responsibility,"책임, 의무, 할, 일, 책무, 부담"
restaurant,"레스토랑, 식당, 음식점, 요리점"
result,"결국, 결과, 성과, 효과, 초래한다"
resume,"이력서, 다시, 시작하다, 재개하다, 경력, 되찾다"
retailer,"유통업체, 소매점, 소매, 상인"
retirement,"은퇴, 퇴직, 퇴임"
return,"돌아오다, 돌아가다, 수익, 귀국, 돌려주다"
revenue,"수익, 수입, 세입, 매출, 재원"
review,"재검토, 평가, 리뷰, 비평, 복습"
revision,"개정, 수정, 개편, 교정"
reward,"보상, 상, 상을, 주다, 보답, 상금"
right,"권리, 인권, 바로, 맞는, 옳은"
risk,"위험, 리스크, 위기, 우려, 위태롭게, 하다"
role,"역할, 할, 일, 배역, 임무"
route,"길, 방법"
routine,"일상적인, 일과, 일반적인, 반복적인, 정기적인"
rule,"규칙, 규정, 법칙, 룰, 방식"
safety,"안전, 안정성, 보호, 보안"
salary,"월급, 연봉, 급여, 임금, 보수"
sale,"판매, 매매, 매각, 세일, 매출"
sample,"샘플, 표본, 예, 견본"
satisfaction,"만족, 충족"
saving,"구조하는, 저축, 절약하는, 아끼는, 절감하는"
schedule,"일정, 스케줄, 계획, 예정, 시간표"
scheme,"설계, 조직, 계획, 음모"
scholarship,"장학금, 학문"
screen,"화면, 스크린, 영화, 심사하다, 가리개"
search,"찾다, 수색하다, 검색하다, 조사하다, 연구하다"
season,"시즌, 계절, 제철, 시기, 시절"
section,"구역, 부분, 섹션, 절개, 부문"
sector,"부문, 분야, 영역, 업종"
security,"보안, 안보, 안전, 보장, 보호"
segment,"분절, 부분, 부문, 영역, 분할하다"
selection,"선택, 선발, 선집"
seminar,"세미나, 연구집회, 집중, 강의"
seniority,"연상, 연공, 손위"
sense,"감각, 의미, 느끼다, 의식, 감지하다"
series,"시리즈, 일련, 연작, 급수, 계속해서"
service,"서비스, 봉사, 근무"
session,"세션, 회의, 시간, 회기, 개정"
share,"공유하다, 나누다, 주식, 점유하다, 분담"
shareholder,"주주, 출자자"
shipment,"선적량, 배송, 수송, 출하, 운반"
shortage,"부족, …난, 결핍"
signature,"서명, 특징, 사인"
significance,"의의, 의미, 중요"
situation,"상황, 사태, 상태, 관계, 정세"
skill,"기술, 실력, 기능, 솜씨"
software,"소프트웨어, 프로그램"
solution,"해결책, 방안, 용액, 해법, 솔루션"
source,"소스, 원천, 정보원, 자료, 출처"
specialist,"전문가, 전문의"
specification,"명세, 사양, 규격, 기준, 설명서"
speech,"연설, 말, 언어, 말하기, 화법"
spending,"지출, 보내는, 쓰는, 소비, 투자"
sponsor,"스폰서, 후원하다, 후원자"
standard,"기준, 표준, 수준, 규격, 윤리"
statement,"발표, 말함, 진술, 대차표"
stationery,"문구, 문방구"
statistics,"통계, 통계, 자료, 통계학"
status,"상태, 지위, 신분, 현상, 사정"
stock,"주식, 스톡, 재고, 증권"
storage,"저장, 보관, 창고, 비축"
store,"저장, 가게, 점포, 매장, 상점"
strategy,"전략, 방법, 계획"
structure,"구조, 조직, 구성하다, 건물"
