English,Korean
generation,"세대, 시대"
kansas,"캔자스, 미국, 중부의, 주, 캔자스, 강"
miss,"놓치다, 그리워하다, 미스, 빼먹다, 잃어버리다"
chemical,"화학적인, 화학물질, 화합물"
doctor,"의사, 박사, 선생"
reduce,"줄이다, 감소시키다, 줄어들다, 낮추다, 축소하다"
brought,"가져왔다, 데려왔다, 모였다, 불렀다, 키웠다"
himself,"자신, 스스로, 자기, 자..., 혼자"
nor,"…도, 또한, …아니다, …보다도, …도, …도, …않다"
enable,"할, 수, 있게, 하다, 가능하게, 하다"
exercise,"운동, 훈련, 행사, 활동, 행동"
bug,"벌레, 버그, 괴롭히다, 곤충, 바이러스"
santa,"성녀, 산타클로스(Santa, Claus), 성…"
mid,"중앙의, 중모음의, 한가운데의"
leader,"지도자, 리더, 정상, 대표, 선도자"
diamond,"다이아몬드, 야구장"
israel,"이스라엘, 이스라엘인, 유대인"
se,"「떨어져서」, 「…없이」의, 뜻, selenium, southeast, standard, English, systems, engineering"
processes,"(비격식), (줄지어), 걷다, (제조·가공의), 과정, 일련의, 작용(operation), 진행, (상태), …을, 가공하다"
soft,"부드러운, 연질의, 약한, 유연한, 조용한"
servers,"봉사자, (테니스·배구, 등에서), 서브하는, 사람, (미사의), 복사(服事)(acolyte), (요리를, 놓는), 쟁반(tray,, salver), (식사, 등에서), 시중, 드는, 사람"
alone,"혼자, 홀로, 다만, …뿐이다, 고립하여"
meetings,"집합, 회의, (the, meeting), (집합적), (격식), (사람의), 모임, 회전, (특히, 퀘이커, 교도의), 예배, 집회"
seconds,"제, 2로, 둘째로, 두, 번째로, (보통, the, second), (순서가), 제2의,, 둘째, 번의(약자, (every, second로), 하나, 걸러의(alternate)"
jones,존스
arizona,"애리조나, 주도, Phoenix., (약어)Ariz., AZ"
keyword,"중요어, 해독의, 열쇠가, 되는, 어, 표제어"
interests,"이자, (종종, interests), 이익, 중요성, 흥미를, 갖게, 하다, 관계시키다"
flight,"비행, 비행기, 항공편, 여행, 도피"
congress,"의회, 회의"
fuel,"연료, 부채질하다"
username,사용자명
walk,"걷다, 보행, 산책하다"
fuck,"빌어먹을, 도대체, 망치다, 완전히, 엿"
produced,"만든, 제작, 생산된, 배출, 나오다"
italian,"이탈리아의, 이탈리아인, 이탈리아어"
paperback,"페이퍼, 백, 종이, 표지의, 종이, 표지의, 책"
classifieds,"분류된, (미), 기밀로, 취급되는, 안내, 광고(classified, ad)의, classified, ad, 기밀, 문서"
wait,"기다리다, 지켜, 보다, 기대하다, 대기하다"
supported,"(밑에서), 받치다, 부양하다, 지속시키다, 버팀, (사람·가족의), 부양"
pocket,"주머니, 호주머니, 포켓, 자금"
saint,"성인, 성…, 성자"
rose,"장미, 올랐다, 로즈"
freedom,"자유, 석방"
argument,"논쟁, 주장, 말다툼, 논거, 논점"
competition,"경쟁, 대회, 경기, 경합, 시합"
creating,"…을, 창조하다, …을, 창작하다, (영), 주다, 창조적인, 일을, 하다, (영·옛투), 야단법석을, 떨다"
jim,"남자, 이름, 못쓰게, 만들다"
drugs,"마취약을, 먹다, 마약에, 탐닉하다, 약, 마약, (drugs), (미), (드러그스토어에서, 파는), 위생품"
joint,"관절, 공동의, 조인트, 합작의, 합동의"
premium,"프리미엄, 보험료, 권리금, 고급의, 높은"
providers,"공급자, 정보, 제공자, 조달자(purveyor), 인터넷, 접속, 서비스업자, (특히), 가족의, 부양자"
fresh,"신선한, 새로운, 갓, 상쾌한, 깨끗한"
characters,"(보통, 단수형), (사람의), (남과, 다른), 성격, (다른, 것과, 다른), 특(이)성, (도덕적), 인격, (격식), 평판, 지위"
attorney,"변호사, 지방, 검사, 법무장관, 위임장, 법정대리인"
di,"…(출신)의, 도와, 레사이의, 음, 「분리」의, 뜻, 「둘의」, 「2배의」, 「2중의」의, 뜻"
growing,"성장하는, 증가하는, 커지는, 늘어나고, 키우는"
thousands,"수천, 수만, 수많은, 엄청나게, 수천만"
km,"kilometer, kingdom, Air, Malta"
stream,"스트림, 하천, 흐름, 개울, 기류"
apartments,"(미), (공동, 주택내의), (몇, 개의), 1가구분의, 방((영), flat), (미), apartment, house, (보통, apartments), (국왕·대통령·공주, 등이, 사는), 호화로운, 방, (단기, 체류용), 임대용, 방"
pick,"고르다, 선택하다, 따다, 줍다, 선발하다"
hearing,"청력, 듣기, 청각"
eastern,"동부의, 동쪽의, 동양의, 동구의"
auctions,"…을, 경매하다, …을, 경매에, 부치다, 경매, 공매, auction, bridge"
therapy,"치료, 요법, 상담, 처방"
entries,"들어감, 입장권(權), 입구, (장부·표·일기·사전, 등에의), 기재(사항), (경기, 등의), 참가자"
dates,"(서류·그림·화폐, 등의, 작성·주조·교부, 시기, 또는, 시기와, 장소를, 나타내는), 날짜, (사건이, 일어난), 날(짜), (사건·사물의, 역사적), 연대, 적혀, 있다, 속하다"
generated,"발생시키다, 초래하다, (점·선·면이, 움직여), 그리다, 생성하다, 일으키다"
signed,"서명했다, 체결했다, 싸인했다, 계약했다, 합의한"
upper,"위의, 상류의, 상위의"
administrative,"행정의, 사무의"
serious,"심각한, 진지한, 정말, 중대한, 어려운"
prime,"가장, 전성기, 한창, 주요한"
samsung,"삼성, 라이온즈"
began,시작했다
louis,"XIV, 루이, 14세, XVI, 루이, 16세"
steps,"(발)걸음, 한, 걸음, 발소리(footstep), 걸음을, 옮기다, (댄스의), 스텝을, 밟다"
errors,"잘못, 오해, (도덕상의), 오류, (계산의), 오차, 실책"
shops,"(손님이, 점원을, 부를, 때), 여보세요, 가게, (큰, 상점의), 특정, 상품, 판매장, (장인, 또는, 공예가의), 작업장, 물건을, 사다"
bondage,"노예의, 신분, 속박, 강제, 노역"
del,"delegate, delegation, delete"
efforts,"(육체적·정신적), 노력, (노력의), 결과, (주로, 영), 모금, 운동, 작동력, 노고"
informed,"견문이, 넓은, 세련된, 정보에, 근거한"
ga,"gallium, Georgia, General, Agent"
ac,"「…에」「…으로」의, 뜻, 「…에, 들린」, 「…병[증], 환자」의, 뜻, account(계좌)"
thoughts,"(수식어구와, 함께), (특정한, 장소·계급·시대에, 특유한), 사상, (하나의), 생각(idea), 사고력, 사색, 고려"
creek,"시내, 계곡, 크리크족"
ft,"feet, feint, fiat"
worked,"가공한, 세공한, 가공된"
urban,"도시의, 도심의"
practices,"(보통, 단수형), 언제나, 하기, 실행, (반복·규칙적인), 연습, …을, 습관적으로, 하다, 지키고, 실천하다"
sorted,"잘, 정리된, 갖춘, 분급한"
reporting,"정보, 제공, 보도, 보고"
essential,"필수의, 본질적인, 가장, 중요한, 필요한, 없어서는, 안, 될"
myself,"나, 자신, 나, 스스로, 원래의, 나"
tours,"투르, 프랑스, 중서부의, Loire강에, 면한, 옛, 도시"
load,"무게, 로딩, 장전하다, 싣다, 짐"
affiliate,"계열사, 자회사, 소속, 설립, 제휴하다"
immediately,"…하자마자, 즉시, 바로, 곧, 당장"
admin,"정부, 행정, 정권, 관리, 경영"
nursing,"간호학, 보건, 요양, 양육, 수유"
defense,"국방, 방어, 방위, 보호, 안보"
machines,"(종종, 복합어), 기계, (비격식), 머신, (사람, 대신에, 작업을, 하는), 기계, …을, 기계로, 만들다, …을, 규격화하다"
designated,"지정된, 지명된, 등재, 정해진, 소속된"
tags,"꼬리표, (옷, 등의), 자락, (구두, 끈, 등의, 끝부분의), 쇠붙이, …에, 딱지를, 붙이다, …에, (…이라는), 별명을, 붙이다"
heavy,"중(重)…, 무거운, 강력한, 심한, 두꺼운"
covered,"덮인, 다루다, 가리다, 씌우다, 보도하다"
recovery,"회복, 회수, 복구, 재생"
joe,"녀석, 병사, 남자, 이름"
guys,"(영·속어), 도망치다, (비격식), 녀석, (guys)(미·구어), 사람들, (종종, Guy)(영), Guy, Fawkes를, 닮도록, 만든, 괴상한, 인형, (비격식), …을, (흉내, 내면서), 놀리다"
integrated,"종합, 통합된, 융합된, 포함, 집적된"
configuration,"구성, 형상, 상대적, 배치"
cock,"망치다, 수탉, 위로, 젖히다"
comprehensive,"포괄적인, 종합적인, 광범위한"
universal,"보편적인, 전, 세계의, 공통의, 우주의, 만유인력"
protect,"보호하다, 지키다, 방어, 막다, 수호"
drop,"떨어지다, 떨어뜨리다, 하락, 방울, 그만두다"
solid,"고체의, 단단한, 확실한, 순수한, 연속된"
cds,"Centre, des, Démocrates, Sociaux(민주, 사회, 중도파), credit, default, swap(신용, 부도, 스와프)"
languages,"(어떤, 국가·민족의), 국어, (일반적으로), 언어, 언어, 능력, (비언어적), 전달, 기호, 체계, (음성·문자에, 의하지, 않는), 말"
became,...되었다
orange,"오렌지, 오렌지색, 주황색, 귤"
vehicles,"(발음에, 주의), (주로, 격식), (자동차·버스·트럭, 등, 보통, 육상의), 운반, 수단, 전달, 수단(전파·음파, 등), 은유(隱喩)의, 주어가, 비유되는, 사물, 또는, 개념, (약을, 먹기, 쉽게, 하기, 위한), 부형제(賦形劑)"
prevent,"막다, 예방하다, 방지하다, 못하게, 하다, 금지하다"
theme,"주제, 테마, 제목"
rich,"부유한, 부자의, 풍부한, 많은, 풍요로운"
im,"instant, message(인스턴트, 메시지), intramuscular(근육내의), individual, medley(개인, 혼영)"
marine,"해양의, 해운의, 수산, 해병대"
vs,"versus(~대), vide, supra(위를, 보라), 수의사, verse"
guitar,기타
finding,"찾아내는, 밝히는, 결과, 알게, 되다"
pennsylvania,"펜실베이니아미국, 동부의, 주., (약어)Pa., Penn., Penna, PA"
examples,"(수동태), (드물게), …의, 실례가, 되다, 예, 본(보기), 대표적, 예"
ipod,아이팟
saying,"…라는, 말이, 있다, 속담, 발언"
spirit,"정신, 영혼, 유령, 사람, 마음"
ar,"Arabia, arrive, annual, return"
claims,"(←『타동사』), 당연한, 권리로서, 요구하다, (당연한, 권리로서), …을, 요구하다, (사실이라고), …을, 주장하다, …이라는, 사실을, 인정하기를, 요구하다, (당연한, 권리로서의), 요구"
porno,"(비격식), 포르노(pornography), 포르노의, 포르노, 영화"
challenge,"도전, 문제, 난제, 이의를, 제기하다, 항의"
motorola,모토로라
acceptance,"수용, 받아들임, 수락, 인정, 가입"
strategies,"병법, 전략, 책략, 용병학(strategics), 전술"
mo,"잠깐, 조금, 호모, month, mustache"
seem,"…것, 같다, …것처럼, 보이다, 느껴지다, 듯하다, 여겨지다"
affairs,"일, (affairs), 사무, (비격식), (보통, 수식어와, 함께), 것, (보통, one's, affair), (개인적인), 문제, 불륜의, 연애, 관계"
touch,"만지다, 터치, 건드리다, 닿다, 연락을, 하다"
intended,"하려고, 목적으로, 의도된, 계획된"
towards,"…에, 대하여, …을, 향하여, …을, 위하여, …쪽으로, 무렵"
sa,"sine, anno(간행, 년도, 없음), samarium(사마륨), South, Africa(남아프리카, 공화국)"
goals,"(보통, one's, goal), 목적, (경주의), 결승점, (경기의), 골, 골에, 공을, 넣기, 목표"
election,"선거, 투표, 선정, 당선, 선택"
suggest,"제안하다, 시사하다, 제시하다, 암시하다, 제의하다"
charges,"청구하다, 부담으로, 하다, 맡기다, 지불을, 청구하다, (남, 앞으로), 달아놓다"
serve,"제공하다, 봉사하다, 복무하다, 근무하다, 섬기다"
affiliates,"교제하다, (미), 지점, 가입하다, 지부, 분회(分會)"
reasons,"이유, 이성, 도리, (조리, 있게), 논하다, 도리를, 설명하다"
magic,"마법, 마술, 매직, 주술, 요술"
mount,"산, 탑재하다, 증가하다, 개최하다, 쌓이다"
smart,"똑똑한, 영리한, 현명한, 효과적인, 훌륭한"
talking,"이야기, 말하는, 대화, 소리, 통화"
gave,"give의, 과거형"
ones,"하나의(single), (때를, 나타내는, 명사를, 수식하여), (미래, 또는, 과거의), 어떤, (문어), (인명에, 붙여서), …이라는, 사람, (보통, 관사, 없이), 하나, (다음에, 오는, 연령·시간·화폐, 단위, 등을, 나타내는, 명사를, 생략하여), 한, 살"
latin,"라틴의, 라틴어"
multimedia,"멀티미디어, 혼합, 미디어, 멀티미디어의"
xp,"Christ를, 나타내는, 그리스어, ΧΡΙΣΤΟΣ의, 처음, 두, 자"
tits,"훌륭한, 굉장한, 최고의"
avoid,"피하다, 회피하다, 막다, 예방하다, 자제하다"
certified,"공인의, 보증된, 증명서를, 소지하고, 있는"
manage,"관리하다, 다루다, 어떻게든, …하다, 운영하다, 잘, 해내다"
corner,"모퉁이, 구석, 코너, 궁지"
rank,"차지하다, 오르다, 계급, 랭크, 자리잡다"
computing,"컴퓨터, 사용, 컴퓨터, 관계의, 계산"
oregon,"오리건, 미국, 서북부, 태평양, 연안의, 주(약어)Oreg., Ore., OR"
birth,"탄생, 출생, 태어남, 출산, 낳다"
virus,"바이러스, 병균"
abuse,"폭행, 학대하다, 남용하다, 악용하다, 욕설"
interactive,"대화식의, 쌍방향의, 상호적인"
requests,"…을, 부탁하다, 청하다, 원하다, 부탁, 의뢰장"
separate,"개별적인, 분리하다, 별거하다, 구분하다, 흩어지다"
quarter,"분기, 1/4, 쿼터, 25센트, 3개월"
leadership,"리더십, 지도력, 대표, 권력, 선도"
tables,"테이블, (보통, the, table), (단수형), (집합적), 식탁에, 둘러, 앉은, 사람들, 평면, …을, 테이블, 위에, 놓다, (표에), …을, 기입하다"
define,"정의하다, 정하다, 말한다, 규정하다, 의미"
racing,"경주, 레이싱, 경마"
religious,"종교의, 신앙의, 독실한"
facts,"(허구·의견, 등에, 대한), 사실, 사실, (보통, facts), (남이, 말하는), 사실, (the, fact), (종종, facts), (사건·상황의), 사실, 진실"
breakfast,"아침, 아침식사, 조식"
kong,"(속이), 텅, 비다, 내용이, 없다, 넓다, 비우다, 하늘"
column,"기둥, 칼럼, 열, 세로의, 난, 소속"
plants,"(동물에, 대하여), 식물, 모종, (생산을, 위한), 설비, 심다, (지면, 등에), 놓다"
faith,"신앙, 믿음, 신념"
chain,"사슬, 체인, 연쇄, 체인점"
developer,"개발자, 택지, 개발, 업자"
identify,"확인하다, 식별하다, 발견, 알아보다, 찾아보다"
avenue,"길, …가, 방법"
missing,"놓친, 없어진, 실종된, 부족한, 그리운"
died,"(동족, 목적어와, 함께), …한, 죽음을, 맞다, 죽다, 사라지다, (비격식), 움직이지, 않게, 되다"
approximately,"약…, 대략, 정도, …여"
domestic,"국내의, 가정의, 국산의, 내수, 자국의"
sitemap,"사이트, 맵, 웹, 사이트의, 구성을, 간편하고, 시각적으로, 나타낸, 것"
recommendations,"ITU-R, 권고, P, 계열"
moved,"move＋／move＋＋, 이사하다, 생각을, 바꾸다, 전진하다, 움직이다, 이전하다"
houston,"휴스턴, 미국, 텍사스, 주, 남동부의, 도시"
reach,"도달하다, 이르다, 손을, 뻗다, 닿다, 도착하다"
comparison,"비교, …에, 비해, 대조적으로"
mental,"정신의, 지적인, 마음의, 관념적인"
viewed,"(격식), 텔레비전을, 보다, (종종, views), 견해, 일견, 시야, (격식), 바라보다"
moment,"순간, 지금, 때, 잠깐, 기회"
extended,"확장된, 뻗은, 연장한, 편, 늘어난"
sequence,"서열, 순서, 배열"
inch,"인치, 조금"
attack,"공격하다, 발작, 비난하다, 폭행하다, 덤벼들다"
sorry,"미안한, 죄송한, 유감스러운, 안됐다, 안타까운"
centers,"(보통, the, center), (원·구·정다각형의), 중심, 본원, (보통, the, center), (흥미·관심·인기, 등의), 초점, 집중시키다, 중심을, 정하다"
damage,"손상, 피해, 손해, 해치다, 해롭다"
lab,"실험실, 연구실, 랩, 검사결과, 래브라도, 리트리버"
reserve,"준비의, 예비, 보호지역, 예약하다, 매장량"
recipes,"조리법, 수단, 요리법, 방법, 처방(전)"
cvs,"임신, 초기, 융모검사(chorionic, villus, sampling)"
gamma,"감마, 감마별, 제3의, 것"
plastic,"플라스틱, 비닐의, 가소성의, 신용, 카드의"
produce,"만들다, …을, 생산하다, 만들어, 내다, 제작하다, 작품"
snow,"눈, 눈이, 내리다"
placed,"어울리는, 장소, 자리, 입장, …을, 맡기다, 내다"
truth,"진실, 사실, 진리, 진상, 진심"
counter,"대응, 카운터, 대책, 계산기, 반대의"
follows,"(시간·차례에서), …의, 다음에, 오다, 뒤를, 잇다, (지위가), …의, 다음이다, (시간·차례에서), 뒤따르다, (문장·말, 등에서), 아래와, 같이, 기술되다"
eu,"European, Union(유럽, 연합), europium(유로퓸)"
weekend,주말
dollar,달러
camp,"캠프, 수용소, 진영, 훈련소, 숙소"
ontario,"온타리오, 캐나다, 남부의, 주, 온타리오, 호수"
automatically,"자동적으로, 자연히, 반드시"
des,"프랑스계의, 이름에서, de와, 관사, les의, 단축형, data, encryption, standard(데이터, 암호화, 기준), diethylstilbstrol(비스테로이드계, 합성, 여성, 호르몬)"
minnesota,"미네소타, 주도, St., Paul., (약어)Minn, 미네소타, 강"
films,"(때로, a, film), 얇은, 층, 얇은, 것, 영화, 필름, …을, 얇은, 껍질로, 덮다, …을, 촬영하다"
bridge,"교량, 다리, 브리지, 육교, 메우다"
native,"원주민의, 토착의, 태생의, 토박이의, 모국의"
fill,"채우다, 가득, 차다, 가득하다, 신청서를, 작성하다, 붓다"
williams,윌리엄스
movement,"운동, 움직임, 이동, 동작, 변화"
printing,"인쇄, 프린트, 출력"
baseball,"야구, 베이스볼"
owned,"소유인, 점령한, 발린"
approval,"승인, 찬성, 허가, 동의"
draft,"초안, 입안, 드래프트, 징병, 기초"
chart,"차트, 표, 기록, 순위, 수로도"
played,"play(놀다)의, 과거형, 놀았다"
contacts,"(서로), 접촉하다, 접촉의, 유시계(有視界), 비행으로, (프로펠러를), 돌려!,, 발동, 걸어!, 접촉에, 의한"
cc,"cashier's, check, central, committee, chief, clerk"
jesus,"예수, 그리스도, 아이고"
readers,"독자, 독본, 출판, 고문(publisher's, reader), 낭독자, (종종, Reader), (영), (대학, 등의), 준교수"
clubs,"(무기로, 쓰이는, 뭉뚝한), 곤봉, (비슷한, 것), (스포츠·사교를, 위한), 클럽, 클럽, 회관, 곤봉으로, 때리다, …을, 곤봉처럼, 만들다"
lcd,"liquid, crystal, display(액정, 표시, 장치), lowest, common, denominator(최소공통분모)"
wa,"와족, 와어, Washington"
jackson,"잭슨, 남자, 이름"
equal,"동등한, 같은, 평등한, 동일한, 균등한"
adventure,"모험, 어드벤처, 도전"
matching,"매칭, 조화되는, 정합, 어울리는"
offering,"제공하는, 주는, 제안하는, 내놓는, 선물"
shirts,"셔츠로, 덮다, (주로, 남자용의), 와이셔츠, (주로, 미), 셔츠웨이스트, 블라우스, nightshirt"
leaders,"선도자, (영), 주임, 변호인, (마차의), 맨, 앞의, 말, (기계의), 주축, leading, article"
posters,"(벽, 등에), 포스터를, 붙이다, (포스터로), 선전하다, 포스터, 포스터를, 붙이는, 사람, 광고, 전단"
institutions,"(소매, 상점·보험, 회사, 등의), 상사, 사회, 제도, (비격식·익살), 잘, 알려진, 사람, 설립, 성체, 성사의, 제정"
assistant,"보조, 조수, 비서, 보좌의"
variable,"변수, 변화하는, 다양한"
ave,"어서, 오세요, 안녕!, ave의, 인사"
dj,"dinner, jacket, disc, jockey, district, judge"
advertisement,광고
expect,"기대하다, 예상하다, 생각하다, 바라다, 기다리다"
parking,"주차, 파킹"
headlines,"(미), 주역을, 맡다, 인기, 배우가, 되다, (신문, 등의), 큰, 표제(banner), 헤드라인, (headlines), (뉴스, 방송의, 서두에, 말하는), 중요, 항목"
yesterday,"어제, 과거, 바로, 얼마, 전에, 최근, 요사이"
compared,"beyond, compare, 로, 씀, …을, 비교하다, …을, 비유하다, 비교, 변화를, 나타내다, (보통, 부정문·의문문), 동등하다고, 여겨지다"
determined,"결정된, 결심한, 생각, 작정, 의지"
russia,러시아
gone,"지나간, 사라진, 죽은"
codes,"법전, (행동·도덕·사회, 생활상의), 규준, 신호법, …을, 법전으로, 작성하다, 암호로, 하다(encode)"
kinds,"종류, (동식물의), 종(species), (the, kind), 특별한, 성질의, 사람, (그, 사람과), 같은, 종류의, 사람, (주로, 구어), …에, 다소라도, 비슷한, 사람"
seattle,시애틀
statements,계산서류
golden,"가장, 좋은, 황금의, 골든, 절호의"
completely,"완전히, 완벽하게, 모두, 전적으로, 철저히"
teams,"(집합적으로, 단수·복수, 취급), 조, (쟁기·썰매, 등에, 맨), 한, 무리의, 말, 한, 무리로, 하다, 팀으로, 모으다, 한, 무리의, 동물을, 부리다"
fort,"요새, 포트"
cm,"centimeter, commercial, message(상업, 광고, 방송), 퀴륨"
wi,"West, Indian, when, issued, wrought, iron"
lighting,"조명, 점화, 점등"
senate,"상원, 의회, 원로원"
forces,"힘, (주장, 등의), 설득력, 신체적인, 힘, 강요하다, (저항을, 무릅쓰고), …을, 밀고, 나아가다"
funny,"재미있는, 웃기는, 이상한, 유쾌한, 바보, 같은"
brother,"형제, 형씨, 동포"
gene,유전자
turned,"되었다, 돌린, 껐다, 나타났다, 만들었다"
portable,"휴대용의, 이동식, 포터블"
tried,"…하려고, 한, 노력한, 먹어, 본, 입어, 본"
electrical,"전기의, 전자의, 전하"
applicable,"적용할, 수, 있는, 적절한, 적용, 가능한"
disc,"디스크, 음반, 원반"
returned,"돌려, 보내진, 돌아온, 반송된"
pattern,"패턴, 양상, 유형, 형태, 문양"
ct,"Connecticut, country, Central, time"
hentai,"변태, (일본어, 変態에서)"
boat,"배, 보트"
named,"라고, 불리는, 이름의, 유명한, 지정된, 지명된"
theatre,"공연장, 극장"
laser,레이저
earlier,"이전에, 앞서는, 더, 일찍, 좀, 더, 빨리"
manufacturers,제조업자대리인
classical,"고전의, 클래식의, 클래식, 음악의, 고전, 문학의, 전통적인"
icon,"아이콘, 우상시, 되는, 인물, 상징"
dedicated,"전용의, 헌신적인, 몰두하고, 있는, 열렬한, 특정한, 목적으로, 사용되는"
indiana,"인디애나, 주도, Indianapolis., (약어)Ind., IN"
direction,"방향, 지시, 길, 목표"
harry,"약탈하다, 남자, 이름, 침략하다"
basketball,농구
objects,"반대하다, 이의를, 주장하다, 싫어하다, (오감(五感)으로, 포착할, 수, 있는), 물건, 대상"
ends,"(가늘고, 긴, 물건의), 끝, (면을, 가진, 물건의), 가장자리, 부분, (심리, 상태·힘, 등의), 한계(점), …을, 끝내다, …을, (억지로), 끝내다"
delete,"지우다, 삭제하다, 제거하다, 없애다"
evening,"저녁, 저녁용의, 저녁에, 하는, 밤, 야회"
assembly,"조립, 집회, 의회, 국회, 조회"
nuclear,"핵의, 원자력, 원전"
taxes,"taxis의, 복수형, tax의, 복수형"
mouse,"마우스, 생쥐, 쥐"
signal,"신호, 통신, 나타내다, 시작을, 알리다, 조짐"
criminal,"형사상의, 범죄의, 범인"
issued,"논점, (통화·공채·우표·출판물, 등의), 발행, (통화·공채·우표, 등의), 발행물, 내다, 내주다"
brain,"뇌, 두뇌, 머리, 브레인"
sexual,"성적인, 성행위의, 생식의"
wisconsin,"위스콘신, 미국, 중북부의, 주, (약어)Wis., Wisc., WI"
powerful,"강력한, 힘있는, 센, 파워풀한, 유력한"
dream,"꿈, 꿈꾸다, 상상하다, 희망, 드림"
obtained,"(격식), (종종, 수동태), (노력·의뢰하여), …을, 획득하다, 손에, 넣다, 사다, (규칙·습관, 등이), 널리, 행하여지다, 성립하다"
false,"거짓의, 허위인, 틀린, 부정의, 잘못하여"
da,"아빠(dad), (이탈리아인의, 이름에, 붙여서), ~의, district, attorney(지방, 검사)"
cast,"주조, 배역, 던지다, 드리우다, 깁스"
flower,"꽃, 꽃을, 피우다"
felt,"느꼈다, 느껴지는, 생각했다, 펠트, FEEL의, 과거·과거분사"
passed,"지나간, 죽었다, 통과했다, 넘겼다, 전해졌다"
supplied,"대리를, 하다, (한정적), 공급하는, 대리로서, 설교단에, 서다, 전력원의, 공급하다"
identified,"확인된, 인정된"
falls,"(미), 쳐서, 넘어뜨리다, (한정적), 가을의, 가을에, 뿌리는, 가을용의, 떨어지다"
pic,"영화, 피카도르의, 창, 사진"
soul,"영혼, 마음, 정신, 소울, 아무"
aids,"에이즈, 후천성, 면역, 결핍증, 지원, 에이드, 가속하다"
opinions,"개인적, 의견, 일반적인, 의견, 전문적인, 의견, 평가, (보통, 부정어, 또는, 정도를, 나타내는, 형용사와, 함께), 호의적인, 평가"
promote,"촉진하다, 홍보하다, 증진하다, 장려하다, 조장하다"
stated,"말했다, 밝혔다, 명시, 전했다, 진술했다"
stats,통계
hawaii,하와이
professionals,"(한정적), 직업의, (한정적), 지적, 직업에, 종사하는, 전문의, (지적), 직업인, (일의), 숙련자"
appears,"나타나다, (…인), 듯하다, 세상에, 나오다, (연극·음악회, 등에), 출연하다, 출두하다"
carry,"휴대하다, 옮기다, 갖다, 싣다, 운반하다"
flag,"깃발, 국기, 국적, 플래그"
decided,"결정한, 분명한, 단호한"
nj,"뉴저지(New, Jersey)"
covers,"여시(coversed, sine)"
hr,"home, rule, homerun, House, of, Representatives"
em,"여자, 이름, emanation, electromagnetic"
advantage,"이점, 우위, 유리, 이익, 이용"
hello,"안녕하세요, 안부, 여보세요"
designs,"…을, 디자인하다, (종종, 수동태), …을, 예정하다, …을, 꾀하다, 도안을, 만들다, 설계를, 하다"
maintain,"유지하다, 관리하다, 주장하다, 고수하다, 계속하다"
newsletters,"(단체, 조직, 등이, 관계자, 등을, 위해, 발행하는), 사보, (예약, 구독자에게, 최신, 정보의, 해설,, 장래의, 전망, 등을, 전하는), 시사, 통신, 회보, 연보, 월보"
adults,"(한정적), 성인이, 된, 어른의, 어른, (동식물의), 성체, 성숙한"
clips,"(가위로), 잘라내다, 짧게, 깎다, 가위질하다, (가위, 등으로), 가위질하다, (비격식), 질주하다"
savings,"빼고는, …외에는, …은, 별도로, 하고, 구조하는, 절약하는"
iv,"initial, velocity, intravenous"
graphic,"그래픽, 그림의, 생생한"
atom,"원자, 조금, 원자력, 아톰"
payments,"지급, 지급물, 보수, 반제, 보상(reward)"
rw,"radiological, warfare, Right, Worshipful, Right, Worthy"
estimated,"추정된다, 약, 추산된다, 예상되는, 평가상의"
binding,"의무적인, 묶기, 구속력이, 있는"
brief,"짧은, 보고서, 잠시, 간단한, 개요"
ended,"(가늘고, 긴, 물건의), 끝, (면을, 가진, 물건의), 가장자리, 부분, (심리, 상태·힘, 등의), 한계(점), …을, 끝내다, …을, (억지로), 끝내다"
winning,"우승, 수상, 이긴, 당첨, 성공"
eight,여덟
anonymous,"익명의, 어나니머스, 무명, 미상의, 이름을, 밝히지, 않은"
iron,"철, 아이언, 다리미, 쇠"
straight,"직선, 똑바로, 바로, 곧장, 곧은"
script,"대본, 각본, 시나리오, 원고, 사본"
served,"(테니스, 등의), 서브(하는, 법), 서브권, 서브된, 공, 섬기다, 식사, 시중을, 들다"
wants,"…을, 원하다, 만나고, 싶어하다, 원하다, 빈곤하다, 부족하다"
miscellaneous,"잡동사니, 여러가지, 기타, 갖가지의"
prepared,"준비된, 만들어진, 마련된, 대비된, 각오된"
void,"빈, 공허한, 쓸모, 없는"
dining,"식사하기, 식사, 정찬"
alert,"경계, 주의하다, 알림, 집중하다, 기민한"
integration,"통합, 융합, 동화"
atlanta,"애틀랜타, 미국, Georgia, 주, 북부에, 위치한, 도시"
dakota,"다코타, 미국, 중부의, 지방, 다코타족"
tag,"태그, 꼬리표, 따라가다, 표시하다, 술래잡기"
mix,"섞다, 믹스, 혼합하다, 결합하다, 혼혈"
framework,"근거, 체제, 틀, 구조"
disk,"디스크, 원반, 음반, 접시"
installed,"설치하다, 맡게, 하다, (어떤, 곳에), 정착하게, 하다, 인스톨하다, 설비하다"
queen,"여왕, 왕비, 왕후, 퀸"
vhs,"가정용, 비디오, 테이프의, 기록, 방식(video, home, system)"
credits,"신용, (신용에서, 생기는), 명성, 명예가, 되는, 것, (주로, 의문문·부정문에서), …을, 믿다, …의, 명예가, 되다"
clearly,"명확히, 분명하게, 또박또박, 밝게"
fix,"고치다, 해결하다, 음식을, 준비하다, 위치, 고정하다"
handle,"다루다, 처리하다, 감당하다, 손잡이, 만지다"
